physical_angle_from_+z_deg,normalized_power
1.608250146398819780e+01,4.522918024573312256e-04
1.599465583231780386e+01,4.553041612769609869e-04
1.590684879030127341e+01,4.637677421435251485e-04
1.581908008117200737e+01,4.777839728243880651e-04
1.573134944908294308e+01,4.974260964384833155e-04
1.564365663909837778e+01,5.227386037199502474e-04
1.555600139718585595e+01,5.537368218162506701e-04
1.546838347020808158e+01,5.904066623047882949e-04
1.538080260591492632e+01,6.327045302053782919e-04
1.529325855293551761e+01,6.805573948476092896e-04
1.520575106077034100e+01,7.338630225276641592e-04
1.511827987978346144e+01,7.924903699639521300e-04
1.503084476119474466e+01,8.562801366404777488e-04
1.494344545707219041e+01,9.250454732166790489e-04
1.485608172032431007e+01,9.985728422878946842e-04
1.476875330469253988e+01,1.076623026906970435e-03
1.468145996474376425e+01,1.158932281429978818e-03
1.459420145586283546e+01,1.245213618432591601e-03
1.450697753424519121e+01,1.335158224663177736e-03
1.441978795688954484e+01,1.428436998258743188e-03
1.433263248159055081e+01,1.524702198754843705e-03
1.424551086693162638e+01,1.623589200774602608e-03
1.415842287227776097e+01,1.724718341688737501e-03
1.407136825776840894e+01,1.827696853001636521e-03
1.398434678431041611e+01,1.932120864741022773e-03
1.389735821357101209e+01,2.037577471713454373e-03
1.381040230797085755e+01,2.143646850137257819e-03
1.372347883067712715e+01,2.249904412880452103e-03
1.363658754559667052e+01,2.355922991315421555e-03
1.354972821736918043e+01,2.461275031655791885e-03
1.346290061136046035e+01,2.565534793564854411e-03
1.337610449365569742e+01,2.668280538819463310e-03
1.328933963105281535e+01,2.769096697878486307e-03
1.320260579105586451e+01,2.867576002340115667e-03
1.311590274186844951e+01,2.963321571476858120e-03
1.302923025238721344e+01,3.055948941309509243e-03
1.294258809219536488e+01,3.145088025020066624e-03
1.285597603155626345e+01,3.230384993906460812e-03
1.276939384140702138e+01,3.311504068546526798e-03
1.268284129335219212e+01,3.388129210362223875e-03
1.259631815965745183e+01,3.459965704354170651e-03
1.250982421324335725e+01,3.526741624408210370e-03
1.242335922767915690e+01,3.588209173255407607e-03
1.233692297717661113e+01,3.644145889891405900e-03
1.225051523658387431e+01,3.694355718025198188e-03
1.216413578137942331e+01,3.738669929927408968e-03
